# BEGIN PLOT
YMin=0.15
DrawOnly=/CMS_2018_I1680318/d01-x04-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x04-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x04-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced (One-Side)
RatioPlotReference=/CMS_2018_I1680318/d01-x04-y01
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
LegendOnly=/CMS_2018_I1680318/d01-x04-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x04-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x04-y01
XLabel=$\eta$ 
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x04-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x04-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	1.185300e+00	7.975588e-02	8.422618e-02
-2.200000e+00	-2.000000e+00	1.166800e+00	8.018435e-02	8.615062e-02
-2.000000e+00	-1.800000e+00	1.129700e+00	7.904758e-02	8.710597e-02
-1.800000e+00	-1.600000e+00	1.068700e+00	7.584458e-02	8.639005e-02
-1.600000e+00	-1.400000e+00	1.050100e+00	7.544693e-02	8.887908e-02
-1.400000e+00	-1.200000e+00	1.003800e+00	7.301781e-02	8.854423e-02
-1.200000e+00	-1.000000e+00	9.534000e-01	7.066774e-02	8.709811e-02
-1.000000e+00	-8.000000e-01	8.768000e-01	6.656906e-02	8.239788e-02
-8.000000e-01	-6.000000e-01	8.153000e-01	6.336592e-02	7.849510e-02
-6.000000e-01	-4.000000e-01	7.748000e-01	6.155485e-02	7.598717e-02
-4.000000e-01	-2.000000e-01	7.370000e-01	5.964436e-02	7.328001e-02
-2.000000e-01	0.000000e+00	6.851000e-01	5.641994e-02	6.866265e-02
0.000000e+00	2.000000e-01	6.566000e-01	5.511669e-02	6.606398e-02
2.000000e-01	4.000000e-01	6.186000e-01	5.290794e-02	6.226146e-02
4.000000e-01	6.000000e-01	5.885000e-01	5.128509e-02	5.914702e-02
6.000000e-01	8.000000e-01	5.484000e-01	4.866796e-02	5.483767e-02
8.000000e-01	1.000000e+00	5.156000e-01	4.644868e-02	5.112583e-02
1.000000e+00	1.200000e+00	4.852000e-01	4.421945e-02	4.740464e-02
1.200000e+00	1.400000e+00	4.648000e-01	4.283702e-02	4.452797e-02
1.400000e+00	1.600000e+00	4.188000e-01	3.932493e-02	3.912608e-02
1.600000e+00	1.800000e+00	3.789000e-01	3.709515e-02	3.470864e-02
1.800000e+00	2.000000e+00	3.408000e-01	3.587116e-02	3.129633e-02
2.000000e+00	2.200000e+00	3.020000e-01	3.524557e-02	2.867909e-02
2.200000e+00	2.400000e+00	2.535000e-01	3.313608e-02	2.567586e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x04-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x04-y01
ScaledBy=3.45063181068453648e-06
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	1.016884e+00	4.188611e-03	4.188611e-03
-2.200000e+00	-2.000000e+00	9.839475e-01	4.120219e-03	4.120219e-03
-2.000000e+00	-1.800000e+00	9.590340e-01	4.067723e-03	4.067723e-03
